Horses,1st,2nd,3rd,starts,win,place,roi
Mr Alby,4,1,1,15,26.7,40.0,390.00
Battle Storm,4,0,0,4,100.0,100.0,52.00
Lady Yendor,4,2,1,8,50.0,87.5,12.63
Dylan's Romance,4,0,1,14,28.6,35.7,317.86
Alienated,4,2,5,23,17.4,47.8,25.43
Mymming,4,4,2,16,25.0,62.5,15.00
Quick Nick,4,3,1,13,30.8,61.5,38.08
Gracie Belle,4,2,1,9,44.4,77.8,107.78
Takotsubo,4,3,0,13,30.8,53.8,139.23
The Tax Accountant,4,1,2,10,40.0,70.0,-17.50
Mystic Mist,4,1,3,15,26.7,53.3,2.67
Kabini,4,1,1,12,33.3,50.0,47.50
Malea Magic,4,1,0,8,50.0,62.5,458.13
Mandela Effect,4,0,0,6,66.7,66.7,58.33
Lota Creek Gold,4,2,2,15,26.7,53.3,30.67
Domination,4,3,2,18,22.2,50.0,-28.61
Rewarding Laughter,4,2,0,12,33.3,50.0,31.67
Regalo Di Gaetano,4,1,0,7,57.1,71.4,658.57
In Good Health,4,2,4,17,23.5,58.8,31.18
Taraki,4,0,3,8,50.0,87.5,37.50
Royal Strata,4,1,2,17,23.5,41.2,28.24
Who's Knocking,4,2,1,11,36.4,63.6,-10.00
Skinnen Tins,4,0,2,11,36.4,54.5,270.91
Raven's Blaze,4,0,2,8,50.0,75.0,265.00
Delightful Celyna,4,2,0,17,23.5,35.3,124.12
Ons Vier,4,1,1,10,40.0,60.0,105.00
Bianconi Magic,4,0,1,7,57.1,71.4,417.14
Be Mindful,4,1,2,9,44.4,77.8,142.22
We Concur,4,0,2,6,66.7,100.0,40.83
Galtero,4,0,0,8,50.0,50.0,52.50
Starkers,4,3,0,10,40.0,70.0,80.00
Tisani Magic,4,6,1,14,28.6,78.6,-12.86
Franquare,4,0,2,9,44.4,66.7,19.44
Apoloboom,4,0,3,14,28.6,50.0,5.71
Sofie's Gold Class,4,1,1,10,40.0,60.0,285.00
Think Free,4,1,1,8,50.0,75.0,18.13
Sweet Mischief,4,1,0,9,44.4,55.6,161.00
Hard Stride,4,2,4,19,21.1,52.6,76.32
Monaco Snob,4,0,0,10,40.0,40.0,98.00
Revlis,4,2,2,15,26.7,53.3,82.00
Polar Vortex,4,4,2,18,22.2,55.6,24.17
Rare Episode,4,0,3,10,40.0,70.0,57.50
Poet's Landing,4,1,1,8,50.0,75.0,11.88
Maschino Miss,4,2,0,7,57.1,85.7,196.43
Greywolf,4,3,1,18,22.2,44.4,27.22
El Toranado,4,2,1,11,36.4,63.6,25.45
Lady Conquistador,4,2,1,8,50.0,87.5,82.50
Thoughtful Harmony,4,0,1,8,50.0,62.5,62.50
Table of Wisdom,4,0,0,8,50.0,50.0,68.13
Ocean Walzer,4,1,0,8,50.0,62.5,44.38
Break And Enter,4,1,0,10,40.0,50.0,450.00
Playing Marika,4,1,0,6,66.7,83.3,455.00
The Captain,4,1,2,8,50.0,87.5,28.75
Noble Descent,4,1,1,8,50.0,75.0,116.25
Rock the World,4,1,0,9,44.4,55.6,120.00
Queen Ablaze,4,0,1,6,66.7,83.3,131.67
Grand Bouquet,4,0,0,9,44.4,44.4,58.89
Phuket,4,0,0,12,33.3,33.3,30.00
Forbid Me Not,4,2,0,9,44.4,66.7,77.78
France's Boy,4,2,2,17,23.5,47.1,-4.41
Concrete,4,2,0,10,40.0,60.0,19.50
Rembrandt,4,2,0,11,36.4,54.5,41.82
Mandater,4,2,1,8,50.0,87.5,72.50
Buried Treasure,4,1,0,7,57.1,71.4,157.86
Read The Riot Act,4,3,1,10,40.0,80.0,51.00
Guise,4,0,2,6,66.7,100.0,168.33
Proud Captain,4,3,1,12,33.3,66.7,26.17
Garros,4,2,0,12,33.3,50.0,226.67
Fanx,4,3,0,13,30.8,53.8,136.92
Dylan's Deeva,4,1,0,10,40.0,50.0,10.00
Brax,4,1,1,9,44.4,66.7,121.11
Sugar Dance,4,2,1,12,33.3,58.3,35.00
Nothingforthepress,4,2,0,8,50.0,75.0,110.00
Bonnie Sare,4,4,0,13,30.8,61.5,103.85
Decoy Noxious,4,1,1,12,33.3,50.0,170.00
Mount Horeb,4,0,1,6,66.7,83.3,69.17
Hayne Plane,4,0,1,13,30.8,38.5,1300.00
Subtle Grey,4,1,0,10,40.0,50.0,89.00
