Horses,1st,2nd,3rd,starts,win,place,roi
Demonize,1,1,2,8,12.5,50.0,-76.25
The Weald,1,0,0,10,10.0,10.0,-50.00
Iskra,1,0,0,6,16.7,16.7,-43.33
Vindex,1,0,0,6,16.7,16.7,183.33
Didn't Mention It,1,1,0,8,12.5,25.0,-31.25
Natural Luck,1,1,1,12,8.3,25.0,8.33
Matthias,1,1,0,3,33.3,66.7,183.33
Lakeview And Star,1,1,0,3,33.3,66.7,-53.33
Fearless General,1,0,0,4,25.0,25.0,20.00
Technical Limit,1,0,0,14,7.1,7.1,-46.43
Belle Xaar,1,0,1,5,20.0,40.0,-66.00
Pretty Mama,1,0,0,8,12.5,12.5,87.50
Alassak,1,0,1,4,25.0,50.0,-67.50
Curra Kid,1,0,1,5,20.0,40.0,50.00
Stomp,1,1,1,3,33.3,100.0,26.67
Bull Bailey,1,1,0,7,14.3,28.6,57.14
Gambeson,1,0,0,5,20.0,20.0,-61.00
Buck's Row,1,1,1,7,14.3,42.9,57.14
Penthouse Kitten,1,0,0,5,20.0,20.0,10.00
Chopsticks,1,0,1,7,14.3,28.6,57.14
Our Witness,1,0,2,11,9.1,27.3,-50.00
Rippin 'n' Tearin,1,1,0,5,20.0,40.0,-48.00
Commanding Diva,1,2,0,7,14.3,42.9,-44.29
Never Short,1,0,1,3,33.3,66.7,-36.67
Designer Dance,1,1,0,3,33.3,66.7,-41.67
Wentworth,1,0,0,3,33.3,33.3,200.00
Wharfie's Boy,1,0,0,5,20.0,20.0,100.00
Zambada,1,0,1,8,12.5,25.0,12.50
Harbour Trick,1,1,2,11,9.1,36.4,-77.27
Royal Equiano,1,2,1,11,9.1,36.4,-67.27
Tara Dreaming,1,0,0,2,50.0,50.0,-100.00
Lightning Rider,1,1,0,6,16.7,33.3,916.67
Exotic Art,1,1,2,20,5.0,20.0,-81.00
Baker's Image,1,1,0,6,16.7,33.3,58.33
She Keeps Nosecret,1,0,1,4,25.0,50.0,5.00
Bang On About,1,0,0,7,14.3,14.3,1200.00
Position Of Power,1,0,0,3,33.3,33.3,150.00
Timor Gold,1,0,1,6,16.7,33.3,66.67
Cameo Lass,1,0,0,7,14.3,14.3,200.00
Emerald Kingdom,1,0,1,4,25.0,50.0,300.00
French Hussler,1,0,2,12,8.3,25.0,41.67
Bedrock Dreams,1,0,1,9,11.1,22.2,77.78
Highfriar,1,0,1,6,16.7,33.3,-56.67
Named After,1,0,0,10,10.0,10.0,110.00
Yeas And Nays,1,1,3,10,10.0,50.0,-62.00
Undaoaf,1,0,0,5,20.0,20.0,260.00
Philip,1,0,0,6,16.7,16.7,-68.33
Thistledo,1,0,1,4,25.0,50.0,100.00
Rocker Chick,1,1,0,10,10.0,20.0,0.00
Celtic Court,1,1,1,5,20.0,60.0,-61.00
Faerie Whisper,1,1,0,4,25.0,50.0,112.50
Wolfram,1,1,1,11,9.1,27.3,-63.64
Cobra Kai,1,0,4,15,6.7,33.3,0.00
Riseupskating,1,0,1,9,11.1,22.2,111.11
Ferngrove,1,0,2,7,14.3,42.9,-37.14
Trojohnstar,1,1,1,5,20.0,60.0,-4.00
Finne Realta,1,0,0,6,16.7,16.7,-50.00
Eokalio,1,0,1,5,20.0,40.0,0.00
Mark My Card,1,2,0,7,14.3,42.9,-60.00
Meteor Strike,1,1,0,5,20.0,40.0,10.00
Happiest,1,0,0,6,16.7,16.7,-36.67
The Wild Wild West,1,0,0,8,12.5,12.5,18.75
Vanzant,1,0,1,11,9.1,18.2,-74.55
Ocean Ruler,1,1,0,2,50.0,100.0,-12.50
Nobel Image,1,1,1,11,9.1,27.3,9.09
Zouzouzalo,1,0,0,7,14.3,14.3,342.86
Baltasar,1,0,1,9,11.1,22.2,-22.22
Rose of Castile,1,0,1,4,25.0,50.0,-45.00
The Delorean,1,1,0,7,14.3,28.6,-64.29
Phoenix Global,1,0,0,5,20.0,20.0,-61.00
Hysterics,1,1,0,4,25.0,50.0,-2.50
Truly Great,1,0,0,2,50.0,50.0,-30.00
Sun Wu,1,0,0,9,11.1,11.1,-16.67
Devine Slickness,1,0,0,3,33.3,33.3,66.67
The Thug,1,0,0,7,14.3,14.3,0.00
Run By Night,1,0,1,5,20.0,40.0,-40.00
Scottish Lad,1,1,2,11,9.1,36.4,-74.55
First Lady,1,0,1,5,20.0,40.0,420.00
Everasready,1,1,1,12,8.3,25.0,116.67
Zume Forward,1,1,0,9,11.1,22.2,-80.56
Fortune Maker,1,0,3,6,16.7,66.7,33.33
Ready for Action,1,1,0,9,11.1,22.2,5.56
Soviet,1,0,0,6,16.7,16.7,-41.67
This Girls On Fire,1,0,1,12,8.3,16.7,-58.33
Only Leonnie,1,0,1,7,14.3,28.6,71.43
Sparkling Currency,1,1,0,5,20.0,40.0,80.00
Pinch Vista,1,0,0,4,25.0,25.0,5.00
Mister Jay,1,1,0,3,33.3,66.7,-28.33
Burning Mountain,1,2,0,5,20.0,60.0,320.00
Dubai King,1,0,1,5,20.0,40.0,40.00
Field of Vision,1,1,1,6,16.7,50.0,50.00
Blues Your Ball,1,0,0,6,16.7,16.7,-35.00
No Ordinary Girl,1,0,1,10,10.0,20.0,210.00
Encavage,1,0,1,5,20.0,40.0,120.00
Scoutabout,1,0,0,7,14.3,14.3,128.57
Panalley,1,0,2,11,9.1,27.3,-31.82
Prince Monarch,1,2,1,10,10.0,40.0,0.00
Kalangadoo Chrome,1,3,0,12,8.3,33.3,-16.67
Kirk Ella,1,1,1,9,11.1,33.3,77.78
Harriman,1,1,0,4,25.0,50.0,-46.25
Coutinho,1,0,1,5,20.0,40.0,520.00
Lincoln Cash Man,1,0,0,6,16.7,16.7,25.00
Once in a Lifetime,1,1,0,6,16.7,33.3,8.33
Proposed,1,0,0,8,12.5,12.5,37.50
Hezalite,1,0,0,2,50.0,50.0,45.00
Incubus,1,0,2,10,10.0,30.0,-50.00
Day Star,1,0,0,7,14.3,14.3,342.86
Any Given Glass,1,1,0,7,14.3,28.6,-31.43
Saturn Ops,1,0,1,8,12.5,25.0,-68.75
Charming Miss,1,0,0,3,33.3,33.3,150.00
Winsomemore,1,0,1,10,10.0,20.0,0.00
Ziemba,1,0,0,1,100.0,100.0,250.00
Brutus,1,1,1,9,11.1,33.3,-11.11
Miocic,1,0,0,4,25.0,25.0,400.00
Go Beau Jangles,1,0,0,10,10.0,10.0,160.00
Silkinize,1,0,0,1,100.0,100.0,160.00
The Big Sheila,1,1,0,4,25.0,50.0,275.00
Bel Beau,1,0,2,7,14.3,42.9,-42.86
Smash the Gong,1,0,1,4,25.0,50.0,325.00
Stormy Leo,1,0,0,14,7.1,7.1,121.43
Danehill Storm,1,1,1,9,11.1,33.3,-68.89
Riva Encore,1,0,2,4,25.0,75.0,100.00
Lotsa Spirit,1,0,1,3,33.3,66.7,46.67
Diamond Country,1,1,0,6,16.7,33.3,8.33
Richetti,1,0,0,4,25.0,25.0,-17.50
On the Bossa Nova,1,0,2,4,25.0,75.0,-61.25
Standford,1,0,0,3,33.3,33.3,600.00
Cosmic Eyes,1,1,0,6,16.7,33.3,-46.67
Ilovesaki,1,0,0,5,20.0,20.0,180.00
Grassmere Miss,1,2,2,7,14.3,71.4,0.00
Sly Choice,1,0,0,4,25.0,25.0,62.50
Miss Bang,1,0,4,10,10.0,50.0,-68.00
Va Bene Amore,1,0,0,8,12.5,12.5,-40.00
Courting Joy,1,1,2,6,16.7,66.7,-16.67
Abb Roy,1,0,2,15,6.7,20.0,-82.00
Discovered,1,0,0,2,50.0,50.0,400.00
Circuleight,1,0,1,4,25.0,50.0,-45.00
Kick Ons,1,1,0,3,33.3,66.7,100.00
Hinchinstyle,1,1,0,9,11.1,22.2,-53.33
Tan Tat Blaze,1,1,0,9,11.1,22.2,133.33
He's A Gunslinger,1,2,0,6,16.7,50.0,-76.67
Born to Fight,1,0,0,4,25.0,25.0,-32.50
Golden Words,1,0,1,10,10.0,20.0,0.00
Seduction,1,1,2,9,11.1,44.4,-76.67
Order Of Valour,1,0,0,2,50.0,50.0,350.00
Being Dazzled,1,0,0,8,12.5,12.5,37.50
Fairy Fragments,1,0,2,8,12.5,37.5,-45.00
Luvya Beak,1,2,0,7,14.3,42.9,28.57
Fear Factor,1,0,0,10,10.0,10.0,110.00
Heyington,1,0,1,7,14.3,28.6,-65.71
Roycey,1,1,0,7,14.3,28.6,-21.43
Sapper Tom,1,0,1,9,11.1,22.2,88.89
Tiger Love,1,0,1,2,50.0,100.0,-100.00
Wahine,1,0,0,2,50.0,50.0,80.00
Evening Glory,1,0,0,3,33.3,33.3,-21.67
Is Anyone There,1,0,0,8,12.5,12.5,412.50
Something Borrowed,1,0,0,9,11.1,11.1,-65.56
Picasso Bay,1,0,1,7,14.3,28.6,-14.29
Rather Salubrious,1,0,0,7,14.3,14.3,171.43
Long Lasting,1,0,1,6,16.7,33.3,83.33
Wildwood Court,1,0,0,9,11.1,11.1,11.11
Namo Kekeni,1,1,1,8,12.5,37.5,-57.50
Bolt I Am,1,0,2,5,20.0,60.0,0.00
Exalted Gold,1,1,0,8,12.5,25.0,225.00
Pressed For Thyme,1,0,0,1,100.0,100.0,190.00
Siesta Key,1,0,0,1,100.0,100.0,190.00
Moot,1,0,0,7,14.3,14.3,-7.14
Princess Kayo,1,0,0,3,33.3,33.3,216.67
Sh'bourne Star,1,1,0,4,25.0,50.0,25.00
Ashman,1,1,0,2,50.0,100.0,-27.50
Pace Stick,1,0,0,1,100.0,100.0,70.00
Derasa,1,0,0,3,33.3,33.3,26.67
Aphotic,1,0,0,4,25.0,25.0,125.00
Esplanade,1,0,1,9,11.1,22.2,-62.22
Florence,1,0,0,8,12.5,12.5,225.00
Teeroys Tribute,1,0,2,6,16.7,50.0,-46.67
Gee Gee Pengala,1,1,0,5,20.0,40.0,90.00
Claiborne King,1,1,1,17,5.9,17.6,17.65
Rock Pearl,1,0,0,4,25.0,25.0,112.50
Duke Dictador,1,0,0,5,20.0,20.0,-24.00
Sweet Talkin',1,0,3,7,14.3,57.1,14.29
Kap It Off,1,2,3,8,12.5,75.0,112.50
Smart Style,1,0,0,3,33.3,33.3,216.67
Star Mover,1,0,3,10,10.0,40.0,-62.00
Cupid's Affair,1,1,1,6,16.7,50.0,-38.33
Regal Eagle,1,1,1,10,10.0,30.0,-40.00
Munich,1,0,0,2,50.0,50.0,-7.50
Jackson Storm,1,1,0,4,25.0,50.0,-55.00
Jimmy Rapid,1,0,2,11,9.1,27.3,-78.18
Maori Magic,1,0,3,9,11.1,44.4,-55.56
Maria Victoria,1,1,0,3,33.3,66.7,-33.33
Alastriona,1,0,0,6,16.7,16.7,133.33
Indominus,1,1,0,3,33.3,66.7,-13.33
The Crown Prince,1,1,1,4,25.0,75.0,-53.75
Quietly Confident,1,1,1,9,11.1,33.3,22.22
Acermetric,1,0,2,8,12.5,37.5,-31.25
Intrepidus,1,0,1,2,50.0,100.0,-17.50
Burlington Miss,1,0,0,4,25.0,25.0,-25.00
High Excalebration,1,0,0,4,25.0,25.0,75.00
Smartravella,1,1,0,12,8.3,16.7,-25.00
Tantivy,1,0,1,8,12.5,25.0,-81.25
Phantom Shadow,1,0,0,5,20.0,20.0,1320.00
Prince of Promises,1,0,0,2,50.0,50.0,25.00
Kariya,1,0,0,3,33.3,33.3,66.67
Roy John,1,0,0,6,16.7,16.7,116.67
Broadway Girl,1,1,1,4,25.0,75.0,20.00
Mullinger Lane,1,0,1,7,14.3,28.6,-100.00
Heza Good Boy,1,0,0,8,12.5,12.5,-18.75
Springfield Lew,1,0,1,10,10.0,20.0,-25.00
Another Martini,1,0,2,13,7.7,23.1,446.15
French Response,1,2,1,6,16.7,66.7,-68.33
Bon Temps,1,1,1,10,10.0,30.0,0.00
Chantevous,1,2,0,6,16.7,50.0,916.67
Dark Villain,1,0,0,5,20.0,20.0,-40.00
Bonnie Forever,1,0,0,7,14.3,14.3,271.43
Paris Lights,1,0,1,4,25.0,50.0,-20.00
Don Reggio,1,1,0,7,14.3,28.6,35.71
Blackburn,1,0,2,6,16.7,50.0,83.33
Ciao Miss Turpin,1,1,1,9,11.1,33.3,-44.44
Sinzara,1,0,0,2,50.0,50.0,120.00
Elegant Zous,1,0,1,7,14.3,28.6,-58.57
Implacable,1,0,2,7,14.3,42.9,114.29
On a High,1,1,0,8,12.5,25.0,-63.75
In Two Minds,1,0,1,5,20.0,40.0,50.00
Local Mistress,1,0,0,7,14.3,14.3,-31.43
Crystal Billy,1,0,0,3,33.3,33.3,83.33
Like Him a Bit,1,1,1,13,7.7,23.1,-73.85
Laylo,1,0,0,7,14.3,14.3,-57.14
Esprit Finale,1,0,1,6,16.7,33.3,-26.67
Astral Odyssey,1,0,2,4,25.0,75.0,-35.00
Galahad Guru,1,0,1,6,16.7,33.3,-48.33
Hinchin Miss,1,1,1,4,25.0,75.0,0.00
Millington,1,0,1,5,20.0,40.0,-12.00
Tradement,1,0,3,7,14.3,57.1,-60.00
Amaliemoo,1,1,1,7,14.3,42.9,-28.57
Chief Havoc,1,0,0,6,16.7,16.7,-55.00
Shenanigator,1,0,2,6,16.7,50.0,-16.67
Dream of Ascot,1,2,1,10,10.0,40.0,-45.00
Crown Harmonium,1,2,1,7,14.3,57.1,-21.43
Vouch for Me,1,0,1,4,25.0,50.0,62.50
Pearl Bandit,1,1,0,8,12.5,25.0,-56.25
Sweettalkingwilly,1,0,1,4,25.0,50.0,425.00
Demi Go Round,1,0,2,9,11.1,33.3,-38.89
Eschiele,1,1,0,6,16.7,33.3,-79.00
Prince Friar,1,1,1,11,9.1,27.3,-18.18
Barney Allen,1,0,0,5,20.0,20.0,-42.00
Near Manang,1,0,0,3,33.3,33.3,40.00
Harbour Express,1,0,1,14,7.1,14.3,-7.14
Rosie Red Dress,1,0,1,8,12.5,25.0,100.00
Only in Red,1,0,0,9,11.1,11.1,800.00
Persepolis,1,0,0,3,33.3,33.3,16.67
Toorak Road,1,0,0,4,25.0,25.0,20.00
Dutch Gal,1,1,0,6,16.7,33.3,-35.00
Doctor Doolittle,1,2,0,6,16.7,50.0,100.00
Ogunde,1,0,2,9,11.1,33.3,-27.78
Catch the Culprit,1,0,0,8,12.5,12.5,-25.00
Tejori,1,0,0,2,50.0,50.0,7.50
Comes A Time,1,0,0,2,50.0,50.0,150.00
Rewalia,1,0,0,5,20.0,20.0,260.00
Desert Thorn,1,1,1,7,14.3,42.9,-54.29
Earl da Vinci,1,1,0,4,25.0,50.0,-30.00
Denominator,1,1,1,9,11.1,33.3,-71.11
Blinkin Noodles,1,1,2,5,20.0,80.0,-54.00
Carrera To The Max,1,0,0,2,50.0,50.0,10.00
Miss Daiquiri,1,0,0,3,33.3,33.3,-31.67
Hills,1,0,0,2,50.0,50.0,-2.50
Kurumba,1,1,0,5,20.0,40.0,-20.00
Spartan Jet,1,0,0,6,16.7,16.7,-60.00
Hoff's Off,1,2,1,7,14.3,57.1,7.14
Roseirro,1,0,0,7,14.3,14.3,7.14
Pride Of Kalaru,1,0,0,6,16.7,16.7,0.00
Star Factor,1,0,0,9,11.1,11.1,22.22
In the Bag,1,1,0,5,20.0,40.0,260.00
Sovereign Duke,1,0,0,9,11.1,11.1,-66.67
Tawny Pete,1,0,2,3,33.3,100.0,-20.00
Seek to Destroy,1,0,1,11,9.1,18.2,-9.09
Brickhall,1,0,0,7,14.3,14.3,85.71
The Volto,1,1,0,18,5.6,11.1,-11.11
Writtinko,1,1,1,6,16.7,50.0,-67.50
Noble Billy,1,1,0,5,20.0,40.0,100.00
Artistic Focus,1,1,0,6,16.7,33.3,-40.00
We Built This City,1,0,0,4,25.0,25.0,0.00
Dallas Storm,1,0,0,9,11.1,11.1,1577.78
Beau Garcon,1,0,1,7,14.3,28.6,-21.43
Fairy Beast,1,0,1,4,25.0,50.0,400.00
Rallier,1,1,0,2,50.0,100.0,175.00
Pure Pulse,1,0,1,2,50.0,100.0,-100.00
Proudest Moment,1,0,0,6,16.7,16.7,-65.83
Frank's Reward,1,1,1,8,12.5,37.5,-47.50
Hard Got,1,0,0,10,10.0,10.0,20.00
Achilles Pride,1,0,0,8,12.5,12.5,37.50
The Walrus,1,1,1,10,10.0,30.0,-65.00
Fetch More Ammo,1,1,0,6,16.7,33.3,50.00
Testa de Lago,1,1,1,5,20.0,60.0,0.00
The Reverend Demon,1,0,0,6,16.7,16.7,0.00
O'reilly's Crumpet,1,1,0,9,11.1,22.2,-48.89
Scotty Too Hotty,1,0,2,10,10.0,30.0,90.00
Hakerak,1,0,1,11,9.1,18.2,272.73
Bugeisha,1,0,1,4,25.0,50.0,175.00
Crocodile Shoes,1,0,1,6,16.7,33.3,58.33
Enlightened,1,0,1,4,25.0,50.0,87.50
Prescription,1,1,2,11,9.1,36.4,9.09
Love And Lies,1,1,0,3,33.3,66.7,266.67
Michelin Five Star,1,1,1,9,11.1,33.3,-51.11
Air Mail,1,1,1,12,8.3,25.0,-54.17
Digress,1,0,1,3,33.3,66.7,-13.33
Abbi Fede,1,2,0,7,14.3,42.9,-80.00
Dreamalina,1,0,1,7,14.3,28.6,-57.14
Katisu,1,0,0,5,20.0,20.0,-8.00
Money Matters,1,0,0,1,100.0,100.0,210.00
Cape Sounion,1,0,1,7,14.3,28.6,-48.57
Showmanship,1,0,0,1,100.0,100.0,
Our Artie,1,0,1,14,7.1,14.3,121.43
Miss Hanson,1,1,2,16,6.3,25.0,-18.75
Setcon,1,0,0,4,25.0,25.0,-27.50
Onaroll,1,0,0,6,16.7,16.7,0.00
Too Clever,1,0,1,7,14.3,28.6,-28.57
Moralist,1,0,0,5,20.0,20.0,-8.00
Canapes,1,0,1,4,25.0,50.0,37.50
Zebreez,1,0,0,3,33.3,33.3,-48.33
Starspangledmagic,1,0,0,2,50.0,50.0,80.00
Prior Engagement,1,0,2,15,6.7,20.0,-69.33
Clarefelilli,1,2,0,13,7.7,23.1,-75.38
Miss Excess,1,1,0,2,50.0,100.0,130.00
Hand to Hand,1,1,0,12,8.3,16.7,-73.33
Cherief's Choice,1,1,0,2,50.0,100.0,-10.00
Herron Sand,1,0,0,4,25.0,25.0,325.00
Seattle Sound,1,0,0,4,25.0,25.0,150.00
Gottabiton,1,1,0,7,14.3,28.6,-64.29
Spartan Flame,1,0,0,2,50.0,50.0,800.00
Jackanory,1,0,0,2,50.0,50.0,10.00
Iadoreyou,1,0,0,7,14.3,14.3,0.00
Nations,1,0,1,4,25.0,50.0,-5.00
Copernicus,1,1,0,9,11.1,22.2,-5.56
Bronski Beat,1,0,0,3,33.3,33.3,66.67
Noble Squaw,1,0,0,8,12.5,12.5,25.00
Rock Dancer,1,0,0,9,11.1,11.1,-62.22
Beatrice Was Loved,1,0,1,3,33.3,66.7,83.33
Romaiya,1,0,0,3,33.3,33.3,150.00
Zero Secrets,1,1,1,7,14.3,42.9,157.14
Mr Botterill,1,0,0,4,25.0,25.0,100.00
Jackknife,1,0,1,5,20.0,40.0,10.00
Metallic Queen,1,0,2,13,7.7,23.1,-50.00
Hollywood Rock,1,0,2,13,7.7,23.1,100.00
World Force,1,0,0,9,11.1,11.1,-16.67
Artic Blue,1,0,2,5,20.0,60.0,-16.00
Majora's Mask,1,0,1,10,10.0,20.0,-50.00
Savvy Shields,1,0,0,7,14.3,14.3,-40.00
Summerfest,1,0,0,5,20.0,20.0,-40.00
Sketch Line,1,0,1,8,12.5,25.0,-42.50
Me Hungi,1,0,0,3,33.3,33.3,2933.33
Go Get Sum,1,0,1,10,10.0,20.0,20.00
Bracteate,1,1,1,6,16.7,50.0,0.00
Honor the Moment,1,0,1,9,11.1,22.2,-61.11
Athos,1,1,0,10,10.0,20.0,30.00
Alexandria,1,0,0,3,33.3,33.3,166.67
Absaroka,1,0,0,1,100.0,100.0,24.00
Synergy,1,1,0,14,7.1,14.3,478.57
Holly's Song,1,0,0,6,16.7,16.7,25.00
Westerly Wind,1,0,0,1,100.0,100.0,260.00
Smart Horse,1,0,0,3,33.3,33.3,53.33
Ennis,1,0,1,6,16.7,33.3,-8.33
Staghorn,1,0,1,13,7.7,15.4,46.15
Monterey Zar,1,1,1,3,33.3,100.0,-48.33
Hikaya,1,0,1,5,20.0,40.0,-53.00
Delphox,1,0,0,5,20.0,20.0,60.00
Bossy Britches,1,0,0,3,33.3,33.3,53.33
Jester Rock,1,1,0,12,8.3,16.7,-25.00
Splashette,1,0,0,10,10.0,10.0,-40.00
Kolstar,1,0,0,6,16.7,16.7,-38.33
Lemon Splice,1,0,1,4,25.0,50.0,-35.00
Allo Allo,1,0,0,5,20.0,20.0,30.00
Balantes,1,2,1,9,11.1,44.4,-62.22
Coolamine,1,0,0,5,20.0,20.0,-42.00
Mystical Rose,1,0,0,3,33.3,33.3,23.33
Survey's Legacy,1,1,0,7,14.3,28.6,-21.43
Bangcrash,1,0,0,9,11.1,11.1,5.56
Noble Hussler,1,0,1,5,20.0,40.0,90.00
Out For Justice,1,0,2,6,16.7,50.0,58.33
Macstryker,1,0,0,7,14.3,14.3,128.57
Prequel,1,0,2,4,25.0,75.0,10.00
Shuda Known Better,1,0,3,6,16.7,66.7,-58.33
Taste of Diamonds,1,0,2,5,20.0,60.0,-12.00
Locks Well,1,1,1,11,9.1,27.3,-63.64
Mackie,1,1,1,7,14.3,42.9,-31.43
Chuckles,1,1,0,13,7.7,15.4,38.46
Sukwhinder,1,0,0,2,50.0,50.0,175.00
Puradeanie,1,1,0,7,14.3,28.6,42.86
Boomer Beach,1,1,1,6,16.7,50.0,-65.83
Zedstorm,1,0,0,4,25.0,25.0,175.00
Vernazza,1,0,0,3,33.3,33.3,-36.67
Kunga George Munga,1,0,2,10,10.0,30.0,-25.00
Cronauer,1,1,1,4,25.0,75.0,-27.50
Just Kauto,1,1,0,10,10.0,20.0,-30.00
Jukila,1,0,2,3,33.3,100.0,66.67
On Appro,1,1,1,6,16.7,50.0,-53.33
Portion Control,1,0,0,6,16.7,16.7,-45.00
Daskulya,1,0,2,10,10.0,30.0,-86.50
Yarrayne Lass,1,0,0,6,16.7,16.7,33.33
Dalahouse,1,0,0,3,33.3,33.3,83.33
Meccabah,1,0,0,2,50.0,50.0,-12.50
Miracle Worker,1,0,0,5,20.0,20.0,80.00
Bid To Fame,1,0,0,6,16.7,16.7,50.00
Duchess Dashalot,1,0,0,4,25.0,25.0,25.00
Bridget's Diary,1,0,0,6,16.7,16.7,116.67
Top Agent,1,0,2,13,7.7,23.1,53.85
American Diva,1,0,0,6,16.7,16.7,0.00
Sahara Emaar,1,0,0,4,25.0,25.0,20.00
Anne Catherine,1,1,0,11,9.1,18.2,45.45
Ravage,1,0,0,3,33.3,33.3,366.67
Extra Cover,1,1,0,8,12.5,25.0,-12.50
Robbo the Bold,1,1,0,10,10.0,20.0,-30.00
Ala Go Go,1,0,1,7,14.3,28.6,-51.43
Star Painter,1,2,2,9,11.1,55.6,-46.67
Haiku's Way,1,0,1,4,25.0,50.0,-53.75
Jet'n'wild,1,0,1,11,9.1,18.2,-54.55
Nitty Gritty,1,0,0,5,20.0,20.0,920.00
Riohsei,1,0,0,9,11.1,11.1,-5.56
Epic Bel,1,0,0,5,20.0,20.0,120.00
Satisfied,1,1,1,3,33.3,100.0,-41.67
Just Friars,1,1,0,4,25.0,50.0,425.00
Nothing,1,0,0,8,12.5,12.5,-18.75
O'lovely,1,1,1,6,16.7,50.0,-41.67
Imperious,1,0,0,5,20.0,20.0,-8.00
Gangbuster,1,0,1,6,16.7,33.3,-26.67
Champagne Rock,1,1,0,7,14.3,28.6,485.71
Augusta Rock,1,0,0,3,33.3,33.3,166.67
Moonshine Lady,1,0,1,3,33.3,66.7,400.00
Vandaluscious,1,0,0,4,25.0,25.0,-15.00
Chloe 'N' Emily,1,0,0,3,33.3,33.3,33.33
Silent Protector,1,0,0,5,20.0,20.0,-46.00
Hocked,1,0,1,4,25.0,50.0,20.00
Supreme Girl,1,0,0,6,16.7,16.7,83.33
Chrissy's Dream,1,0,0,8,12.5,12.5,0.00
Requisition,1,0,0,8,12.5,12.5,62.50
Roll the Goodtimes,1,1,0,6,16.7,33.3,-33.33
Vivid Dreamer,1,1,0,4,25.0,50.0,225.00
Gympins,1,1,0,4,25.0,50.0,-5.00
Heza Heart Throb,1,1,0,4,25.0,50.0,0.00
Huontegz,1,1,0,6,16.7,33.3,-8.33
The Greatness,1,1,0,7,14.3,28.6,200.00
Enrique Iglacier,1,0,0,4,25.0,25.0,125.00
The Rockbank Flash,1,0,1,10,10.0,20.0,-45.00
Shinvada,1,0,2,9,11.1,33.3,44.44
Dr Demon,1,0,0,5,20.0,20.0,280.00
Stormont,1,0,2,6,16.7,50.0,-41.67
Brandy Balloon,1,1,2,16,6.3,25.0,218.75
Washington Street,1,0,1,7,14.3,28.6,-14.29
The Tale of Aver,1,0,0,8,12.5,12.5,412.50
Battistoni,1,2,0,5,20.0,60.0,20.00
Makemyday,1,0,1,6,16.7,33.3,-41.67
De Jorvik,1,1,0,9,11.1,22.2,5.56
Salina Dreaming,1,0,1,2,50.0,100.0,12.50
Revel,1,0,0,1,100.0,100.0,600.00
Motomic,1,0,1,6,16.7,33.3,58.33
Green Mountain,1,0,0,1,100.0,100.0,240.00
Ash Grey,1,0,1,6,16.7,33.3,-38.33
Galaxy Force,1,0,1,2,50.0,100.0,150.00
Bullet Speed,1,0,0,1,100.0,100.0,1000.00
Black Strata,1,0,0,1,100.0,100.0,135.00
Our Swan Lake,1,0,0,1,100.0,100.0,170.00
Reef Bug,1,0,0,2,50.0,50.0,40.00
Ruuca,1,0,0,1,100.0,100.0,125.00
Actuarial,1,0,0,3,33.3,33.3,33.33
I Wonder,1,0,0,5,20.0,20.0,-38.00
Miss Celita,1,1,1,7,14.3,42.9,-42.86
Trestrail,1,0,1,6,16.7,33.3,-50.00
Licorice Bullet,1,1,2,12,8.3,33.3,-37.50
Matter Of Factor,1,0,0,3,33.3,33.3,150.00
Going to Vegas,1,1,0,7,14.3,28.6,-52.86
Banri de Hero,1,0,1,9,11.1,22.2,-48.89
Cimarron's Hero,1,0,1,3,33.3,66.7,60.00
Tatties,1,2,0,8,12.5,37.5,-37.50
Genzebe,1,0,0,4,25.0,25.0,25.00
Sweet Fella,1,0,0,4,25.0,25.0,150.00
Tonteria,1,0,0,9,11.1,11.1,-68.89
Engraved,1,0,0,7,14.3,14.3,342.86
Absolemm,1,0,0,3,33.3,33.3,-10.00
Remember Razor,1,1,0,9,11.1,22.2,244.44
Hitchiker,1,1,0,8,12.5,25.0,0.00
Amazingly,1,0,0,5,20.0,20.0,-36.00
Kitty's Own,1,0,0,6,16.7,16.7,333.33
Our Two Bobs Worth,1,0,0,8,12.5,12.5,412.50
Inwood,1,0,0,2,50.0,50.0,450.00
Legenda,1,0,0,5,20.0,20.0,-16.00
Narda Shar,1,0,0,7,14.3,14.3,-7.14
Skiing Girl,1,0,0,5,20.0,20.0,-46.00
Super Bryan,1,0,0,3,33.3,33.3,6.67
Mr Boxvale,1,1,1,4,25.0,75.0,62.50
Another McCloud,1,0,1,2,50.0,100.0,30.00
Sporty Spice,1,1,1,6,16.7,50.0,-8.33
Remolad,1,0,0,5,20.0,20.0,240.00
Rough Road,1,0,0,3,33.3,33.3,-10.00
Tailgunner,1,1,0,8,12.5,25.0,12.50
Notnecessarilyso,1,0,1,5,20.0,40.0,-16.00
Tavitaka,1,0,0,3,33.3,33.3,66.67
Criterium,1,0,0,4,25.0,25.0,100.00
Pellizena,1,0,1,3,33.3,66.7,0.00
Vivid Pink,1,0,0,5,20.0,20.0,0.00
Red Menace,1,1,0,10,10.0,20.0,-78.50
Tornado of Souls,1,0,0,5,20.0,20.0,-28.00
Mr Truman,1,1,1,9,11.1,33.3,-78.89
War Mistress,1,0,0,1,100.0,100.0,250.00
House of Drama,1,0,0,7,14.3,14.3,-44.29
Colton,1,0,0,10,10.0,10.0,-25.00
